Symbol,Name,Last,IV/HV,"Imp Vol","Long Term","Short Term","Med Term","Last Mth Signal","Last Wk Signal","Prev Signal",Signal
ZLN99,"Soybean Oil",16.12,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLK99,"Soybean Oil",17.72,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLH99,"Soybean Oil",19.15,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLF99,"Soybean Oil",23.22,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ98,"Soybean Oil",22.89,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLV98,"Soybean Oil",25.3,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLU98,"Soybean Oil",25.55,0,0.00%,Sell,Buy,Buy,Sell,Buy,Buy,Buy
ZLQ98,"Soybean Oil",24.21,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLN98,"Soybean Oil",23.82,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK98,"Soybean Oil",27.63,0,0.00%,Buy,Sell,Sell,Buy,Buy,Buy,Sell
ZLH98,"Soybean Oil",27.33,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF98,"Soybean Oil",25.18,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLZ97,"Soybean Oil",24.8,0,0.00%,Buy,Sell,Buy,Buy,Sell,Buy,Buy
ZLV97,"Soybean Oil",24.95,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU97,"Soybean Oil",23.78,0,0.00%,Buy,Buy,Buy,Sell,Sell,Buy,Buy
ZLQ97,"Soybean Oil",22.1,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLN97,"Soybean Oil",21.68,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK97,"Soybean Oil",23.51,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLH97,"Soybean Oil",24.26,0,0.00%,Buy,Sell,Sell,Buy,Buy,Buy,Hold
